mz,rt,ccs,0641_Serum,0641_Serum,0641_Serum,0641_Serum,geh_Serum,geh_Serum,geh_Serum,geh_Serum,sal1_Serum,sal1_Serum,sal1_Serum,sal1_Serum,WT_Serum,WT_Serum,WT_Serum,WT_Serum
841.7265788,0.362716667,308.5102972,721.7111046,373.0887379,368.8146887,1073.529351,84.6515634,53.4411246,87.25200398,113.9039324,2400.22318,1717.185479,2445.029898,2451.347747,1594.320909,1700.07515,1797.304664,2172.682987
903.7442092,0.309133333,326.069987,1936.386038,3901.355862,4235.488886,2114.366015,8181.506511,7344.443816,7940.772713,9649.808147,1367.696637,1179.65362,1272.769,1394.818072,896.5535283,982.2928482,903.3164752,789.8597646
887.7472309,0.309133333,321.4267557,1416.679987,682.6495444,588.0613795,1274.761289,136.9993201,110.586474,136.0761339,158.9404897,1901.546838,2141.240931,1585.625864,1911.482593,1522.638479,1419.184267,1311.990843,1688.299182
587.5424551,0.309133333,257.399382,2284.544806,1004.684644,964.8856168,2224.849926,189.4464473,199.2381181,206.4451719,250.1042892,3767.95962,4370.74184,3024.534569,3644.055828,2799.821386,2489.421651,2680.06185,3215.280418
906.8443736,0.706583333,327.2309963,101.2119039,696.092246,772.7134248,119.6911266,5436.199617,3124.201795,4520.450656,9914.332334,17.06185027,25.12322467,21.41232723,16.32870092,10.18108129,6.392501426,4.43083803,2.151855469
879.634282,0.309133333,322.6580115,63.56816782,108.3387508,99.7602493,67.87549591,214.1374993,189.4471425,206.7602441,261.3410497,50.58313215,31.63334516,42.72568748,30.68539621,38.47512687,43.34497802,42.49469666,34.06358385
997.0978869,4.238366667,261.5027157,31.72997789,41.01856575,26.389715,37.66846146,110.8259422,102.1246833,104.0798194,97.62153446,31.87780987,31.02860501,38.07393225,27.41168771,107.8575429,101.6787074,97.48761222,120.6036929
925.7997342,1.084266667,332.9898418,4062.755376,1405.881446,1618.864581,4160.52191,95.79101716,42.90632405,99.3756623,190.7190919,7547.40035,6783.399531,6549.068443,4966.664758,5630.372047,4010.366567,5446.42431,6738.180943
601.5197088,0.309133333,258.5848572,1438.886742,2449.194066,2834.931742,1547.695345,9241.457479,8781.538803,10142.67964,10218.15053,1850.834082,1480.030817,1160.894076,1753.147245,778.2117758,933.9041487,1128.981715,964.6849055
861.7240252,0.309133333,314.4162191,368.5713037,282.3598423,234.3998801,345.1384564,97.27992106,95.53314966,115.7107626,121.3481123,516.7031729,558.5563881,445.8601804,489.6470647,404.2083881,422.907456,418.8913769,467.8175736
603.4980985,0.362716667,249.2513627,2087.954884,1441.973236,1429.620075,3326.074564,295.086575,396.1914447,465.7250519,443.1608017,6084.535228,3864.582573,5831.787435,5083.292715,4358.442689,4826.568696,4945.541487,5419.967396
529.4969906,0.362716667,239.151669,91.35782434,39.62733682,38.37008851,107.4543506,5.505451864,8.496277458,4.555388674,9.180301007,206.6354178,224.2399726,200.7277239,216.0214016,151.6792711,149.7391255,134.582623,197.7229035
943.7342743,0.309133333,332.8969123,224.4782272,555.7368656,605.8448034,282.0585651,1701.772012,1774.96756,1751.284676,1504.07454,183.3476814,140.2698423,145.1539623,182.4986887,100.2304202,126.9059053,109.9031889,89.12511706
909.7893795,0.672783333,327.2151273,244.192688,583.648635,632.8092234,224.9570212,3373.20289,2167.166329,2797.694477,5495.862919,189.533266,197.7576087,136.6468512,146.9294237,128.9800309,119.9331761,117.0070484,123.7235637
876.9327395,0.51775,322.6733486,5.028663025,38.36813556,44.6641145,5.963371289,179.7277785,158.5447795,190.7809949,200.9532481,0.629857322,0,0.541662724,0.694150699,0,0.007684437,0.319925616,0
951.815278,1.084266667,336.3485247,5502.263172,1799.53492,2176.141335,6535.182836,28.80321466,6.996173631,13.78539916,104.0193229,12044.62702,10068.41052,11631.35077,7745.410228,9881.594524,7740.523698,9939.20586,11441.33917
